,Symbol,Name,Sector,Market Cap,Price,Change,Volume,P/E,Analyst Rating
53,TECHM,TECH MAHINDRA LTD,Technology services,1570000000000.0,1629.1,1.62,2970000.0,33.99,Neutral
54,ADANIGREEN,ADANI GREEN ENERGY LTD,Utilities,1530000000000.0,967.9,0.07,4950000.0,110.98,Strong buy
55,EICHERMOT,EICHER MOTORS LTD,Consumer durables,1490000000000.0,5466.0,0.36,1930000.0,31.71,Buy
56,LTIM,LTIMINDTREE LTD,Technology services,1490000000000.0,5033.9,0.01,348070.0,32.47,Buy
57,HYUNDAI,HYUNDAI MOTOR INDIA LTD,Consumer durables,1460000000000.0,1836.0,2.01,637710.0,26.16,Strong buy
58,HINDALCO,HINDALCO INDUSTRIES LTD,Non-energy minerals,1460000000000.0,661.35,1.66,7130000.0,10.59,Buy
59,BPCL,BHARAT PETROLEUM CORP LTD,Energy minerals,1360000000000.0,317.0,1.44,7060000.0,10.16,Buy
60,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,Finance,1340000000000.0,1609.2,0.79,801330.0,31.81,Buy
61,AMBUJACEM,AMBUJA CEMENTS LTD,Non-energy minerals,1340000000000.0,547.55,0.73,3680000.0,32.27,Buy
62,PFC,POWER FIN CORP LTD.,Finance,1340000000000.0,407.1,0.39,9170000.0,6.02,Strong buy
63,BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,Finance,1340000000000.0,12630.0,5.07,143080.0,18.71,Strong buy
64,BRITANNIA,BRITANNIA INDUSTRIES LTD,Consumer non-durables,1320000000000.0,5465.0,0.35,462520.0,60.42,Buy
65,LODHA,MACROTECH DEVELOPERS LTD,Finance,1310000000000.0,1371.0,4.14,2250000.0,49.57,Buy
66,GODREJCP,GODREJ CONSUMER PRODUCTS,Consumer non-durables,1310000000000.0,1290.4,0.66,734150.0,71.28,Buy
67,TVSMOTOR,TVS MOTOR COMPANY LTD,Consumer durables,1300000000000.0,2789.8,2.29,1130000.0,59.29,Buy
68,TATAPOWER,TATA POWER CO LTD,Utilities,1270000000000.0,397.95,0.25,18850000.0,32.05,Neutral
69,SOLARINDS,SOLAR INDUSTRIES (I) LTD,Process industries,1240000000000.0,13880.0,1.14,102000.0,111.92,Strong buy
70,MAZDOCK,MAZAGON DOCK SHIPBUIL LTD,Producer manufacturing,1240000000000.0,3182.4,3.39,7000000.0,46.66,Neutral
71,SHRIRAMFIN,SHRIRAM FINANCE LTD,Finance,1230000000000.0,674.8,3.5,9820000.0,13.29,Buy
72,GAIL,GAIL (INDIA) LTD,Utilities,1220000000000.0,185.02,0.49,14360000.0,9.77,Buy
73,BANKBARODA,BANK OF BARODA,Finance,1210000000000.0,234.38,0.35,6360000.0,5.85,Buy
74,CIPLA,CIPLA LTD,Health technology,1210000000000.0,1502.2,0.5,3920000.0,23.03,Buy
75,ABB,ABB INDIA LTD,Producer manufacturing,1190000000000.0,5735.0,1.77,356220.0,64.4,Buy
76,MAXHEALTH,MAX HEALTHCARE INS LTD,Health services,1140000000000.0,1186.5,0.84,3800000.0,114.97,Buy
77,PNB,PUNJAB NATIONAL BANK,Finance,1130000000000.0,98.32,0.45,14980000.0,6.0,Buy
78,UNITDSPR,UNITED SPIRITS LTD,Consumer non-durables,1120000000000.0,1538.5,0.27,441480.0,77.92,Buy
79,TATACONSUM,TATA CONSUMER PRODUCT LTD,Consumer non-durables,1110000000000.0,1147.2,2.39,2060000.0,87.59,Buy
80,SHREECEM,SHREE CEMENT LTD,Non-energy minerals,1110000000000.0,31400.0,2.55,172190.0,92.61,Buy
81,TORNTPHARM,TORRENT PHARMACEUTICALS L,Health technology,1100000000000.0,3265.0,0.62,182770.0,59.35,Buy
82,INDHOTEL,THE INDIAN HOTELS CO. LTD,Consumer services,1100000000000.0,764.35,0.76,3860000.0,57.03,Buy
83,SIEMENS,SIEMENS LTD,Producer manufacturing,1070000000000.0001,3009.5,0.09,501030.0,41.15,Buy
84,ADANIENSOL,ADANI ENERGY SOLUTION LTD,Utilities,1070000000000.0001,910.8,2.25,1760000.0,108.31,Strong buy
85,MANKIND,MANKIND PHARMA LTD,Health technology,1050000000000.0,2559.9,0.21,141160.0,50.36,Buy
86,INDUSTOWER,INDUS TOWERS LTD,Finance,1040000000000.0,396.95,0.24,7280000.0,10.62,Neutral
87,UNIONBANK,UNION BANK OF INDIA,Finance,1030000000000.0,132.17,2.05,14070000.0,5.6,Strong buy
88,CGPOWER,CG POWER AND IND SOL LTD,Producer manufacturing,1030000000000.0,678.2,0.77,3290000.0,106.44,Buy
89,RECLTD,REC LTD,Finance,1030000000000.0,394.35,1.25,12560000.0,6.54,Strong buy
90,BAJAJHFL,BAJAJ HOUSING FINANCE LTD,Finance,1020000000000.0,122.99,0.15,6290000.0,45.98,Sell
91,DRREDDY,DR. REDDY S LABORATORIES,Health technology,1020000000000.0,1236.3,1.34,2049999.9999999998,18.24,Neutral
92,HAVELLS,HAVELLS INDIA LTD,Producer manufacturing,1000000000000.0,1593.2,0.31,963120.0,67.95,Buy
93,BSE,BSE LTD,Finance,995250000000.0,7148.0,2.71,3360000.0,73.37,Buy
94,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,Health services,994560000000.0,7072.5,2.26,656150.0,77.62,Strong buy
95,MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,Producer manufacturing,993490000000.0,143.69,1.84,10200000.0,23.99,Buy
96,HDFCAMC,HDFC AMC LTD,Finance,976220000000.0,4702.4,2.92,1200000.0,40.98,Buy
97,DIXON,DIXON TECHNO (INDIA) LTD,Electronic technology,971200000000.0,16433.0,1.94,453690.0,124.6,Buy
98,JINDALSTEL,JINDAL STEEL & POWER LTD,Non-energy minerals,960160000000.0,968.3,2.66,2550000.0,34.75,Buy
99,CANBK,CANARA BANK,Finance,959860000000.0,105.16,0.48,22580000.0,5.44,Buy
